9.1.7 TITULAÇÃO DOCENTE,,,,,,,,,,,,,,,,,,,
2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes,Unidade,Titulação,Jornada de Trabalho,Servidores Docentes
,Mestrado,DE,63,,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Graduação,20h,(Em branco)
Campus Teófilo Otoni,Doutorado,20h,(Em branco),,Graduação,40h,9,,Graduação,40h,10,,Graduação,40h,4,,Mestrado,20h,(Em branco)
,Especialização,20h,(Em branco),,Mestrado,40h,5,,Mestrado,40h,(Em branco),,Mestrado,40h,3,,Doutorado,40h,1
,Graduação,20h,(Em branco),,Doutorado,DE,48,,Doutorado,DE,54,,Doutorado,DE,54,,Especialização,40h,(Em branco)
,Mestrado,20h,(Em branco),,Especialização,DE,4,,Especialização,DE,3,,Especialização,DE,3,,Graduação,40h,2
,Doutorado,40h,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Graduação,DE,(Em branco),,Mestrado,40h,1
,Especialização,40h,(Em branco),,Mestrado,DE,61,,Mestrado,DE,59,,Mestrado,DE,56,,Doutorado,DE,5
,Graduação,40h,1,Campus Teófilo Otoni,Doutorado,20h,(Em branco),Campus Teófilo Otoni,Doutorado,20h,(Em branco),Campus Teófilo Otoni,Doutorado,20h,(Em branco),,Especialização,DE,2
,Mestrado,40h,2,,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Especialização,20h,(Em branco),,Graduação,DE,(Em branco)
,Doutorado,DE,4,,Mestrado,20h,1,,Mestrado,20h,(Em branco),,Graduação,20h,(Em branco),,Mestrado,DE,22
,Especialização,DE,2,,Doutorado,40h,(Em branco),,Doutorado,40h,(Em branco),,Mestrado,20h,1,Centro de Referência em Educação a Distância,Doutorado,20h,(Em branco)
,Graduação,DE,(Em branco),,Especialização,40h,(Em branco),,Especialização,40h,(Em branco),,Doutorado,40h,(Em branco),,Educação Básica,20h,1
